Artist,Track,Activities,Rdio ID
Jet,Cold Heart Bitch,"Running, Exercising, Driving",t6003909
Judas Priest,Metal Meltdown,"Running, Exercising, Jogging",t3800331
Caesars,Jerk it Out,"Running, Exercising, Driving, Jogging",t1986900
System of a Down,Chop Suey,"Running, Exercising",t7231628
System of a Down,B.Y.O.B.,"Running, Exercising",t2999704
Rage Against the Machine,Testify,"Running, Exercising, Driving",t3574031
Rage Against the Machine,Ashes in the Fall,"Running, Exercising",t2903955
Franz Ferdinand,Take me Out,"Running, Exercising, Driving, Jogging",t2916737
Franz Ferdinand,Dark of the Matinee,"Running, Exercising, Driving, Jogging",t2907686
The Vines,Dope Train,"Running, Exercising, Driving, Jogging",t2566649
Adele,Rolling in the Deep ,"Running, Biking, Driving",t7761186
All Time Low,Weightless,"Running, Biking, Driving",t1765788
All-American Rejects,Dance Inside,"Sitting, Walking, Biking, Driving",t5656574
Anberline,Paperthin Hymn,"Sitting, Walking, Running, Biking, Driving",t2487060
Avril Lavigne,Complicated,"Sitting, Walking",t2885403
Avril Lavigne,Fall to Pieces,"Sitting, Walking, Driving",t2899373
The Beatles,Yesterday,"Sitting, Walking",t7870039
The Beatles,"Ob-La-Di, Ob-La-Da","Sitting, Walking, Driving",t4559773
blink-182,Feeling This,"Biking, Driving",t2585272
Blue October,Into the Ocean,"Sitting, Walking",t2881446
Boys Like Girls,Heels Over Head,"Sitting, Walking, Running, Biking, Driving",t3765008
Boys Like Girls,Up Against the Wall,"Sitting, Walking, Driving",t3764901
Boys Like Girls,The Great Escape,"Sitting, Walking, Running, Biking, Driving",t3764581
Bruno Mars,Just the Way You Are,"Sitting, Walking, Driving",t5740172
Bruno Mars,Count On Me,"Sitting, Walking, Running, Biking, Driving",t5740233
Bryan Adams,"Everything I Do, I Do It For You",Sitting,t3073640
The Cab,I'll Run,"Running, Biking, Driving",t1683142
Cartel,Runaway,"Running, Biking, Driving",t2913987
Daughtry,Over You,"Running, Biking, Driving",t2892315
The Classic Crime,Who Needs Air,Sitting,t2507267
The Click Five,Just the Girl,"Running, Biking, Driving",t1208063
Cobra Starship,Guilty Pleasure,"Running, Biking, Driving",t1136165
Coldplay,Fix You,Sitting,t2319194
Demi Lovato,Catch Me,Sitting,t4739819
Edwin McCain,I'll Be,"Sitting, Walking",t3368006
Fall Out Boy,Grand Theft Autumn,"Walking, Running, Biking, Driving",t1180305
Simple Plan,I'd Do Anything,"Running, Biking, Driving",t1218886
Jack's Mannequin,Dark Blue,"Sitting, Walking, Running, Biking, Driving",t1237890
The Maine,Everything I Ask For,Running,t1162484
Taylor Swift,Our Song,"Sitting, Walking, Running, Biking, Driving",t4747280
The Fray,Over My Head ,"Sitting, Walking, Biking, Driving",t3763058
Glee Cast,Lean on Me,"Sitting, Walking",t3262315
Hellogoodbye,Here In Your Arms,"Sitting, Walking",t2290302
Hellogoodbye,When We First Met,"Sitting, Walking, Running, Biking, Driving",t6387015
Hey Monday,How You Love Me Now,"Running, Biking, Driving",t2887253
Jimmy Eat World,The Middle,"Running, Biking, Driving",t2838014
Dixie Chicks,Landslide,"Sitting, Walking",t3511257
When In Rome,The Promise,Walking,t7335904
Paramore,Misery Business,"Running, Biking, Driving",t1232959
Relient K,Be My Escape,"Running, Biking, Driving",t2501776
Secondhand Serenade,Your Call,Sitting,t2248119
Taylor Swift,You Belong with Me,"Running, Biking, Driving",t3987312
Taylor Swift,Forever & Always,"Running, Biking, Driving",t3987490
Train,Soul Sister,"Sitting, Walking, Biking, Driving",t6702502
We the Kings,In-N-Out (Animal Style),"Walking, Driving",t2469047
Yellowcard,Ocean Avenue,"Walking, Driving",t2216776
Carolina Liar,Show Me What I'm Looking For,Sitting,t1227699
Elvis Presley,Devil In Disguise,"Sitting, Walking",t4777902
Fountains of Wayne,Stacy's Mom,"Sitting, Walking, Driving",t2475685
Maroon 5,This Love,"Running, Biking, Driving",t2803604
Third Eye Blind,Semi-Charmed Life,"Walking, Running, Biking, Driving",t1312693
Vampire Weekend,Holiday,"Running, Biking, Driving",t7358931
Bowling for Soup,1985,"Running, Biking",t2910649
Daphne Loves Derby,Pollen and Salt,"Sitting, Walking",t6446620
Fountains of Wayne,Hey Julie,"Running, Biking, Driving",t2476280
Yellowcard,Only One,"Sitting, Walking, Driving",t2216983
Travie McCoy,Billionaire,"Sitting, Walking",t4500972
The Used,All That I've Got,"Sitting, Running, Driving",t1192586
Relient K,Must Have Done Something Right,"Sitting, Walking, Running, Driving",t2148275
Norah Jones,Don't Know Why,Sitting,t3364509
Lady Gaga,Bad Romance,"Biking, Driving",t2730920
Jason Derulo,In My Head,Driving,t2666959
John Mayer,Say,"Sitting, Walking",t2885767
Kenny Loggins,Return to Pooh Corner,"Sitting, Walking",t7131654
The Proclaimers,I'm On My Way,Walking,t2484055
Semisonic,Closing Time,"Sitting, Walking",t2847480
The Spill Canvas,The Tide,Sitting,t1789731
Vampire Weekend,A-Punk,"Walking, Running",t7450264
Yellowcard,Big Apple Heartbreak,"Walking, Running, Biking, Driving",t2256989
