Foo Fighters,The Pretender,"Running, Exercising, Jogging",t2893069
Billy Idol,Rebel Yell,"Running, Exercising, Driving",t3376454
Muse,Feeling Good,"Running, Exercising, Driving",t1146726
Muse,Supermassive Black Hole,"Running, Exercising, Driving",t1552103
Iron Maiden,2 Minutes to Midnight,"Running, Exercising, Jogging",t2959629
Iron Maiden,Number of the Beast,"Running, Exercising",t2960026
Jet,Cold Heart Bitch,"Running, Exercising, Driving",t6003909
System of a Down,B.Y.O.B.,"Running, Exercising",t2999704
Judas Priest,Metal Meltdown,"Running, Exercising, Jogging",t3800331
Rage Against the Machine,Ashes in the Fall,"Running, Exercising",t2903955
Rage Against the Machine,Testify,"Running, Exercising, Driving",t3574031
Franz Ferdinand,Take me Out,"Running, Exercising, Driving, Jogging",t2916737
The Vines,Dope Train,"Running, Exercising, Driving, Jogging",t2566649
All Time Low,Weightless,"Running, Biking, Driving",t1765788
All-American Rejects,Dance Inside,"Sitting, Walking, Biking, Driving",t5656574
Anberline,Paperthin Hymn,"Sitting, Walking, Running, Biking, Driving",t2487060
Avril Lavigne,Complicated,"Sitting, Walking",t2885403
Avril Lavigne,Fall to Pieces,"Sitting, Walking, Driving",t2899373
The Beatles,Yesterday,"Sitting, Walking",t7870039
The Beatles,"Ob-La-Di, Ob-La-Da","Sitting, Walking, Driving",t4559773
blink-182,Feeling This,"Biking, Driving",t2585272
Blue October,Into the Ocean,"Sitting, Walking",t2881446
Boys Like Girls,Heels Over Head,"Sitting, Walking, Running, Biking, Driving",t3765008
Boys Like Girls,Up Against the Wall,"Sitting, Walking, Driving",t3764901
Boys Like Girls,The Great Escape,"Sitting, Walking, Running, Biking, Driving",t3764581
Bruno Mars,Just the Way You Are,"Sitting, Walking, Driving",t5740172
Bryan Adams,"Everything I Do, I Do It For You",Sitting,t3073640
The Cab,I'll Run,"Running, Biking, Driving",t1683142
Cartel,Runaway,"Running, Biking, Driving",t2913987
Daughtry,Over You,"Running, Biking, Driving",t2892315
The Classic Crime,Who Needs Air,Sitting,t2507267
The Click Five,Just the Girl,"Running, Biking, Driving",t1208063
Cobra Starship,Guilty Pleasure,"Running, Biking, Driving",t1136165
Coldplay,Fix You,Sitting,t2319194
Demi Lovato,Catch Me,Sitting,t4739819
Edwin McCain,I'll Be,"Sitting, Walking",t3368006
Fall Out Boy,Grand Theft Autumn,"Walking, Running, Biking, Driving",t1180305
Simple Plan,I'd Do Anything,"Running, Biking, Driving",t1218886
Jack's Mannequin,Dark Blue,"Sitting, Walking, Running, Biking, Driving",t1237890
The Maine,Everything I Ask For,Running,t1162484
Taylor Swift,Our Song,"Sitting, Walking, Running, Biking, Driving",t4747280
The Fray,Over My Head ,"Sitting, Walking, Biking, Driving",t3763058
Glee Cast,Lean on Me,"Sitting, Walking",t3262315
Hellogoodbye,Here In Your Arms,"Sitting, Walking",t2290302
Hellogoodbye,When We First Met,"Sitting, Walking, Running, Biking, Driving",t6387015
Hey Monday,How You Love Me Now,"Running, Biking, Driving",t2887253
Jimmy Eat World,The Middle,"Running, Biking, Driving",t2838014
Paramore,Misery Business,"Running, Biking, Driving",t1232959
Relient K,Be My Escape,"Running, Biking, Driving",t2501776
Secondhand Serenade,Your Call,Sitting,t2248119
Taylor Swift,You Belong with Me,"Running, Biking, Driving",t3987312
Taylor Swift,Forever & Always,"Running, Biking, Driving",t3987490
Train,Soul Sister,"Sitting, Walking, Biking, Driving",t6702502
We the Kings,In-N-Out (Animal Style),"Walking, Driving",t2469047
Yellowcard,Ocean Avenue,"Walking, Driving",t2216776
Maroon 5,This Love,"Running, Biking, Driving",t2803604
Third Eye Blind,Semi-Charmed Life,"Walking, Running, Biking, Driving",t1312693
Yellowcard,Only One,"Sitting, Walking, Driving",t2216983
Travie McCoy,Billionaire,"Sitting, Walking",t4500972
The Used,All That I've Got,"Sitting, Running, Driving",t1192586
Norah Jones,Don't Know Why,Sitting,t3364509
Vampire Weekend,A-Punk,"Walking, Running",t7450264
The Afters,Beautiful Love,"Walking, Running",t2999793
All Time Low,Weightless,"Running, Driving",t1765788
All Time Low,"Dear Maria, Count Me In","Running, Driving",t4304178
All Time Low,Lost in Stereo,"Running, Driving",t1253089
All Time Low,Too Much,Sitting,t1253270
All Time Low,Brooklyn,Driving,t1253198
The All-American Rejects,"Swing, Swing",Sitting,t5656232
The All-American Rejects,Time Stands Still,"Biking, Running, Driving",t5656540
The All-American Rejects,My Paper Heart,Sitting,t5656379
The All-American Rejects,Dirty Little Secret,"Walking, Running",t5656268
The All-American Rejects,Dance Inside,"Sitting, Walking, Driving",t5656574
Anberlin,Reclusion,"Sitting, Driving",t2488853
Anberlin,Paperthin Hymn,"Running, Driving",t2487060
Angels & Airwaves,Everything's Magic,Walking,
Angels & Airwaves,The Adventure,Sitting,
Angels & Airwaves,Distraction,Sitting,t2881199
Avril Lavigne,Complicated,"Walking, Driving",t2885403
Avril Lavigne,Happy Ending,Sitting,
Avril Lavigne,I'm With You,Sitting,t2885448
Avril Lavigne,Things I'll Never Say,"Sitting, Walking",t2885593
B.o.B.,Magic,Driving,t5186392
The Beatles,Yesterday,"Sitting, Walking",t7870039
The Beatles,All You Need Is Love,"Sitting, Walking",t4553762
The Beatles,Come Together,Walking,t8243435
The Beatles,I Want to Hold  Your Hand,"Sitting, Walking",t699770
The Beatles,Let It Be,Sitting,t1420421
The Beatles,Day Tripper,Walking,t4583596
Jim Sturgess,All My Loving,"Sitting, Walking, Driving",t2848434
The Beatles,Blackbird,"Sitting, Walking",t8243268
The Beatles,Here Comes the Sun,"Sitting, Walking",t4559748
The Beatles,Yellow Submarine,Sitting,t442354
Blessid Union of Souls,Hey Leonardo (She Likes Me for Me),Walking,t4814962
blink-182,Dammit,"Sitting, Walking, Running, Driving",t1515216
Boys Like Girls,The Great Escape,"Sitting, Walking, Running, Driving",t3764581
Boys Like Girls,Five Minutes to Midnight,"Sitting, Walking, Running, Driving",t3764640
Boys Like Girls,Up Against the Wall,"Sitting, Walking, Running, Driving",t3764901
Boys Like Girls,Heels Over Head,"Sitting, Walking, Running, Driving",t3765008
Boys Like Girls,Holiday,Sitting,
Bryan Adams,Heaven,Sitting,t3072941
Cartel,Say Anything (Else),"Running, Driving",t2913841
The Click Five,Good Day,"Running, Driving",t1208024
The Click Five,Friday Night,Walking,
The Click Five,Catch Your Wave,Walking,
Cobra Starship,The City Is At War,"Running, Driving",t1136154
Cobra Starship,Guilty Pleasure,"Running, Driving",t1136165
Cobra Starship,Kiss My Sass,"Running, Driving",t1136186
Cobra Starship,Hot Mess,Driving,t1750208
Cobra Starship,Angie,"Sitting, Walking",t1136226
Cobra Starship,The World Has Its Shine (But I Would Drop It On A Dime),"Sitting, Walking",
Colbie Caillat,Fallin' For You,"Sitting, Walking",t4737794
Daughtry,Feels Like Tonight,"Sitting, Walking, Driving",t2892362
Daughtry,Life After You,,t2900756
Demi Lovato,Catch Me,Sitting,t4739819
Evan and Jaron,Crazy For This Girl,Sitting,t2951358
Fall Out Boy,Grand Theft Autumn,"Sitting, Walking, Driving",t1180305
Forever the Sickest Kids,Whoa Oh (Me Vs Everyone),"Running, Driving",t4028988
Glee Cast,Lean On Me (Glee Cast Version),"Sitting, Driving",t3926326
Glee Cast,"It's My Life / Confessions, Pt. II (Glee Cast Version)","Sitting, Driving",
Glee Cast,Total Eclipse Of The Heart (Glee Cast Version) [Featuring Jonathan Groff],Sitting,
Glee Cast,Defying Gravity (Glee Cast Version),Sitting,
Glee Cast,Jessie's Girl,"Sitting, Walking, Running, Driving",
Goo Goo Dolls,Iris,,t1200193
Hellogoodbye,When We First Met,"Sitting, Walking",t6387015
Hey Monday,How You Love Me Now,"Running, Driving",t2887253
Hinder,Lips of an Angel,Driving,t2880730
Jack's Mannequin,Dark Blue,"Sitting, Running, Driving",t1237890
Jason Mraz,I'm Yours,"Sitting, Driving",t1137599
Jimmy Eat World,Dizzy,Sitting,
Jimmy Eat World,Hear You Me,Sitting,
Jimmy Eat World,The Middle,"Sitting, Running, Driving",t2838014
Jimmy Eat World,Bleed American,Driving,
Jimmy Eat World,Always Be,"Running, Driving",
The Killers,Somebody Told Me,Driving,t2835575
Lifehouse,Hanging By A Moment,Sitting,t2862387
The Maine,I Wanna Love You,"Sitting, Walking",t4292415
Maroon 5,She Will Be Loved,"Sitting, Walking",t3769788
Maroon 5,This Love,"Running, Driving",
Jack's Mannequin,Bruised,"Sitting, Walking, Driving",t1237785
Jack's Mannequin,La La Lie,"Sitting, Walking",t1237853
Metro Station,Seventeen Forever,Sitting,t3510743
Metro Station,Tell Me What To Do,"Sitting, Driving",t3510815
Metro Station,California,Driving,t3510824
Metro Station,Disco,,t3510834
Metro Station,Shake It,Driving,
AJ Rafael,We Could Happen,"Sitting, Walking, Running, Driving",
Michael Jackson,PYT (Pretty Young Thing),Sitting,t3514576
Michael Jackson,Billie Jean,"Sitting, Driving",t2891891
Michelle Branch,Everywhere,Driving,t2230608
Motion City Soundtrack,Everything Is Alright,Driving,t1265096
Motion City Soundtrack,It Had To Be You,"Sitting, Walking",t1181980
Motion City Soundtrack,Skin and Bones,Sitting,t3027096
Muse,Apocalypse Please,Driving,t1192307
Muse,Time Is Running Out,Driving,t1216849
New Found Glory,All Downhill From Here,Driving,t2830782
New Found Glory,I Don't Wanna Know,Driving,
Norah Jones,Don't Know Why,"Sitting, Walking",t3364509
Oasis,Wonderwall,"Sitting, Walking, Running",t1229482
Five for Fighting,Superman,"Sitting, Walking, Running",t6387166
Parachute,She (For Liz),"Sitting, Walking, Running, Driving",t2710822
Parachute,She Is Love,Sitting,t2710935
Paramore,Pressure,"Sitting, Walking, Running, Driving",t1227428
Paramore,That's What You Get,Walking,t1232779
Paramore,When It Rains,Sitting,
Paramore,Hallelujah,Sitting,
Paramore,All I Wanted,Walking,
Paramore,Here We Go Again,"Walking, Running",
The Red Jumpsuit Apparatus,Face Down,"Running, Driving",t2362311
Relient K,High Of 75,"Sitting, Walking",t2148682
Relient K,Who I Am Hates Who I've Been,Driving,t7515711
Relient K,Must Have Done Something Right,"Sitting, Walking",t2148275
Relient K,Forward Motion,Walking,t7515920
Relient K,Mood Rings,Walking,t7515911
Relient K,Getting Into You,Sitting,t7515944
Relient K,More Than Useless,Driving,
Relient K,I Am Understood?,Sitting,
Relient K,Let It All Out,Sitting,
A Rocket to the Moon,Baby We're Invincible,Sitting,
A Rocket to the Moon,Dakota,"Running, Driving",t3054485
A Rocket to the Moon,On Your Side,Driving,t3055016
Runner Runner,She's My Kinda Girl,"Running, Driving",t7566912
Runner Runner,Hey Alli,,
Runner Runner,Dedicate,,
The Script,This = Love,"Walking, Driving",t2891662
Secondhand Serenade,Vulnerable,Sitting,t1213801
Secondhand Serenade,Your Call,Sitting,t2248119
Secondhand Serenade,Maybe,Sitting,t2247975
Secondhand Serenade,Fall For You,Sitting,t2247926
Simple Plan,I'd Do Anything,"Walking, Running, Driving",t1218886
The Starting Line,Island,,t6069081
Sum 41,In Too Deep,Driving,t2905049
Taylor Swift,Love Story,"Sitting, Walking",t7182272
Taylor Swift,Forever & Always,Driving,t3987490
Taylor Swift,I'd Lie,"Sitting, Walking",
Taylor Swift,Superman,Walking,
Taylor Swift,Ours,"Walking, Running, Driving",
Taylor Swift,Last Kiss,Sitting,
Third Eye Blind,Semi-Charmed Life,Driving,t1312693
Train,Drops Of Jupiter,"Sitting, Driving",t3011522
Travie McCoy,Billionaire,"Sitting, Walking, Driving",t4500972
Counting Crows,Accidentally In Love,"Sitting, Walking, Driving",t2801237
We The Kings,She Takes Me High,Driving,t2468475
We The Kings,Promise the Stars,Driving,t2468574
Weezer,Island In The Sun,Sitting,t2873061
Yellowcard,Sure Thing Falling,"Running, Driving",t2416455
Yellowcard,Way Away,Driving,t2216625
Yellowcard,Ocean Avenue,"Running, Driving",t2216776
Yellowcard,Empty Apartment,Sitting,t2216837
Yellowcard,"One Year, Six Months","Sitting, Walking",t2217426
Yellowcard,Sing For Me,"Sitting, Walking",
Yellowcard,Soundtrack,"Sitting, Walking",
The Used,All That I've Got,,t1179961
We The Kings,Skyway Avenue,,t2581090
Sum 41,Some Say,,t2800106
Switchfoot,Only Hope,,t2901011
Switchfoot,Awakening,,t2925045
The Script,Science & Faith,,
The Script,Bullet From A Gun,,
The Script,Walk Away,,
The Script,Science & Faith,,
The Script,Bullet From A Gun,,
The Script,Walk Away,,
Yellowcard,The Sound of You and Me,,
Mumford & Sons,The Cave,,t3643652
A-Ha,Take On Me,,t1982686
Madness,Our House,,t2862115
Johnny Hates Jazz,Shattered Dreams,,t2202991
Mountain,Mississippi Queen,,t6858219
Queen,Bohemian Rhapsody,,t3908803
Queen,Another One Bites the Dust,,t5000932
Eric Clapton,Change the World,,t1548828
R.E.M.,Radio Free Europe,,t1205830
The Beach Boys,Kokomo,,t2611277
The Beach Boys,Good Vibrations,,t3984593
The Beach Boys,Surfin' USA,,t3984547
Fun.,Be Calm,,t5623025
Adele,Chasing Pavements,,t1340111
Adele,Daydreamer,,t2893028
Florence + The Machine,Dog Days Are Over,,t5208170
deadmau5,Some Chords,,t7130649
deadmau5,Strobe - Radio Edit,,t2467764
deadmau5,Raise Your Weapon,,t7130687
Linkin Park,Numb,,t1273794
Linkin Park,In The End,,t1188490
Linkin Park,Somewhere I Belong,,t1216266
Michael Jackson,Man In The Mirror,,t372699
Michael Jackson,Beat It,,t5056218
Jackson 5,ABC,,t2710153
Jackson 5,The Love You Save,,t2710210
Foo Fighters,Everlong,,t3282694
Daft Punk,One More Time,,t1982754
Daft Punk,Around The World,,t1982707
Whitney Houston,I Wanna Dance With Somebody,,t2909252
Death Cab for Cutie,I Will Follow You into the Dark,,t1155063
Death Cab for Cutie,A Lack Of Color,,t492944
Young the Giant,Cough Syrup,,t7445002
Young the Giant,My Body,,t7444999
Young the Giant,Apartment,,t7444997
Young the Giant,I Got,,t7445000
Young the Giant,God Made Man,,t7445004
Carrie Underwood,Cowboy Casanova,,t3273755
Carrie Underwood,Before He Cheats,,t8004283
Gorillaz,Feel Good Inc (Album Version),,t2544307
Gorillaz,DARE,,t2544443
AWOLNATION,Burn It Down,,t8169533
Yellowcard,Believe,,t2217338
Yellowcard,Only One,,t2216983
Yellowcard,Big Apple Heartbreak,,t2256989
Yellowcard,Lights And Sounds,,t2419049
Rusted Root,Send Me On My Way,,t5924190
Simple Plan,Perfect,,t1228176
Simple Plan,Addicted,,t1219087
Mariah Carey,Always Be My Baby,,t5168210
Mariah Carey,Hero,,t3037999
Mariah Carey,We Belong Together,,t4964485
Mariah Carey,I Still Believe,,t3002535
Backstreet Boys,I Want It That Way,,t2901696
Backstreet Boys,Larger Than Life,,t2901613
Backstreet Boys,Quit Playing Games (With My Heart),,t3816769
*NSYNC,Bye Bye Bye,,t2903836
Toto,Africa,,t4998945
Rick Springfield,Jessie's Girl,,t8114236
Cyndi Lauper,Time After Time,,t2926557
Carpenters,Yesterday Once More,,t2926872
Carpenters,Top Of The World,,t6114578
Celine Dion,Beauty And The Beast,,t5044544
Adriana Caselotti,Some Day My Prince Will Come,,t3910088
Samuel E. Wright,Kiss the Girl,,t3909582
Madonna,Like a Prayer,,t1287175
The Red Jumpsuit Apparatus,Face Down,,t2363008
The Red Jumpsuit Apparatus,Your Guardian Angel,,t2363075
The Red Jumpsuit Apparatus,Cat And Mouse,,t2362497
The Red Jumpsuit Apparatus,False Pretense,,t2362230
Boyz II Men,End Of The Road,,t7284579
Boyz II Men,I'll Make Love To You,,t3304890
Boyz II Men,Water Runs Dry,,t2703475
Boyz II Men,On Bended Knee,,t3304911
Counting Crows,A Long December,,t2800542
Counting Crows,Mr. Jones,,t5935929
Counting Crows,Accidentally In Love,,t2801237
Cher,Believe,,t3131604
Cher,Strong Enough,,t1161957
Cypress Hill,Insane In The Brain,,t3007959
Daft Punk,One More Time,,t1982754
Dido,Thank You,,t3024730
Dido,Life For Rent,,t2910093
Dido,Don't Believe In Love,,t3148174
Dido,Stoned,,t2909988
Eminem,The Real Slim Shady,,t5545724
Fiona Apple,Criminal ,,t2910364
The Fugees,Killing Me Softly With His Song,,t3515861
Genesis,I Can't Dance,,t2274447
George Michael,Fastlove,,t2955483
Gin Blossoms,Found Out About You,,t2850222
Gin Blossoms,Until I Fall Away,,t2849960
Gina G,Ooh Aah… Just A Little Bit,,t6960531
The Goo Goo Dolls,Black Balloon,,t1208629
The Goo Goo Dolls,Dizzy,,t1208674
The Goo Goo Dolls,Name,,t1208705
Green Day,Good Riddance,,t1196345
Green Day,When I Come Around,,t1235856
Green Day,American Idiot,,t8185680
Green Day,Boulevard of Broken Dreams,,t1244014
Green Day,Holiday,,t8185596
Hanson,Where's The Love,,t6507000
Hanson,Give A Little,,t3080031
Hanson,Waiting For This,,t3079720
James,She's A Star,,t3139702
James,Sometimes,,t3140480
Janet Jackson,Every Time,,t2139382
Janet Jackson,If,,t2138702
Janet Jackson,Again,,t2139385
Jewel,Who Will Save Your Soul,,t1562347
Jewel,Foolish Games,,t1562366
Jewel,You Were Meant For Me,,t1562422
K7,Come Baby Come,,t7109466
Korn,Blind,,t7963982
Korn,Falling Away From Me,,t2065705
Lightning Seeds,You Showed Me,,t3830071
Lisa Loeb,I Do,,t5894883
Lisa Loeb,Stay,,t7811259
Lisa Loeb,How,,t3293041
Marc Anthony,I Need To Know,,t3786395
Marc Anthony,You Sang To Me,,t3786408
Marc Cohn,Walking In Memphis,,t6335194
Matchbox Twenty,Push,,t1274700
Matchbox Twenty,Unwell,,t1248809
Matchbox Twenty,How Far We've Come,,t1855215
Michael Jackson,Heal The World,,t7293078
Michael Jackson,Remember The Time,,t7176952
Montell Jordan,This Is How We Do It,,t5768934
Nada Surf,Popular,,t2210356
Nine Inch Nails,Closer,,t2910715
Nine Inch Nails,The Hand That Feeds ,,t2789194
Nine Inch Nails,Dead Souls,,t1522912
Nirvana,Come As You Are,,t2712535
Nirvana,Heart Shaped Box,,t2945205
Nirvana,In Bloom,,t2712676
Nirvana,About A Girl,,t2221287
Nirvana,Lithium,,t2712601
No Doubt,New,,t2837092
No Doubt,It's My Life,,t4975554
No Doubt,Hella Good,,t5169093
No Mercy,Where Do You Go,,t7808413
No Mercy,What Is Love,,t3648684
R.E.M.,Man On The Moon,,t1196109
R.E.M.,Everybody Hurts,,t1228776
R.E.M.,Losing My Religion,,t5918417
R.E.M.,Shiny Happy People,,t1258754
Radiohead,Karma Police,,t2366171
Radiohead,Paranoid Android,,t2365853
Radiohead,No Surprises,,t2366342
Rage Against The Machine,Bulls On Parade,,t5286013
Rage Against The Machine,Guerrilla Radio,,t3574098
Real McCoy,Run Away,,t3011854
Ricky Martin,Livin' La Vida Loca,,t3802959
Right Said Fred,I'm Too Sexy,,t99093
Savage Garden,Crash and Burn,,t3789088
Savage Garden,The Animal Song,,t3789114
Seal,Crazy,,t1684952
Selena,I Could Fall In Love,,t2035022
Sarah McLachlan,Sweet Surrender,,t3013267
Sarah McLachlan,Adia,,t3012582
Sarah McLachlan,I Will Remember You,,t3012582
Sarah McLachlan,Angel,,t2927035
Sheryl Crow,All I Wanna Do,,t2735898
Sixpence None The Richer,Kiss Me,,t4364844
Smash Mouth,Can't Get Enough Of You Baby,,t2879379
Smash Mouth,Walkin' On The Sun,,t2879223
Spice Girls,Stop,,t2341461
Spice Girls,Holler,,t1998696
Stone Temple Pilots,Creep,,t1219585
Stone Temple Pilots,Interstate Love Song,,t1219710
Stone Temple Pilots,Vasoline,,t1219349
Sugar Ray,Someday,,t4365993
Tal Bachman,She's So High,,t2996622
Tal Bachman,If You Sleep,,t3020178
Tal Bachman,Beside You,,t2997026
The Moffatts,Miss You Like Crazy,,t2511655
The Offspring,Come Out and Play,,t1264927
The Offspring,Pretty Fly (For A White Guy),,t2899610
The Offspring,Self Esteem,,t1264959
The Offspring,The Kids Aren't Alright,,t3000408
The Offspring,Trust In You,,t3547616
Pretenders,I'll Stand By You,,t1520986
Pretenders,Don't Get Me Wrong,,t5472193
Pretenders,2000 Miles,,t1549293
Pretenders,My City Was Gone,,t1244808
Smashing Pumpkins,Bullet With Butterfly Wings,,t2330647
Smashing Pumpkins,Disarm,,t2328979
Smashing Pumpkins,1979,,t2331293
Smashing Pumpkins,"Tonight, Tonight",,t2332858
Third Eye Blind,How's It Going To Be,,t1318689
Third Eye Blind,Never Let You Go,,t1281842
U2,"Stay (Faraway, So Close!)",,t3290832
U2,One,,t2836501
U2,Sunday Bloody Sunday,,t2951115
Usher,You Make Me Wanna,,t2987850
Vanessa Williams,Save The Best For Last,,t8078498
Vanessa Williams,Love Is,,t1515020
Vanessa Williams,Never Can Say Goodbye,,t1176188
White Town,Your Woman,,t2050484
